Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input_Selenium WebDriver_vfb-20""))",Firefox 114.0,,,2023-06-07 15:51:42,2023-06-07 15:51:43,0.450s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/textarea_Enter your query_vfb-23""), comment)",Firefox 114.0,,,2023-06-07 15:51:43,2023-06-07 15:51:43,0.470s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input__vfb-3""), ""99"")",Firefox 114.0,,,2023-06-07 15:51:43,2023-06-07 15:51:44,0.480s,PASSED
"click(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input_This box is for spam protection - str_2dcb9b""))",Firefox 114.0,,,2023-06-07 15:51:44,2023-06-07 15:51:44,0.661s,PASSED
closeBrowser(),Firefox 114.0,,,2023-06-07 15:51:44,2023-06-07 15:51:45,0.810s,PASSED
,,,,,,,
Test Cases/practice_TestCases/Day3_02TestCases(nextGen),Firefox 114.0,,,2023-06-07 15:52:29,2023-06-07 15:52:38,9.924s,FAILED
"openBrowser("""")",Firefox 114.0,,,2023-06-07 15:52:29,2023-06-07 15:52:34,5.065s,PASSED
navigateToUrl(next1),Firefox 114.0,,,2023-06-07 15:52:34,2023-06-07 15:52:38,4.555s,PASSED
"click(findTestObject(""Object Repository/Day-3PracticeObjectFolder/Day3_02TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/span_Toggle navigation_icon-bar""))",Firefox 114.0,,,2023-06-07 15:52:38,2023-06-07 15:52:38,0.297s,FAILED
,,,,,,,
Test Cases/practice_TestCases/Day3_03TestCases(nextGen),Firefox 114.0,,,2023-06-07 15:53:12,2023-06-07 15:53:24,12.096s,FAILED
"openBrowser("""")",Firefox 114.0,,,2023-06-07 15:53:12,2023-06-07 15:53:17,5.157s,PASSED
navigateToUrl(next1),Firefox 114.0,,,2023-06-07 15:53:17,2023-06-07 15:53:24,6.622s,PASSED
"click(findTestObject(""Object Repository/Day-3PracticeObjectFolder/Day-3_03TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/span_Toggle navigation_icon-bar""))",Firefox 114.0,,,2023-06-07 15:53:24,2023-06-07 15:53:24,0.311s,FAILED
